Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume,MI,Interpretation
16,1.07,1.0,1.59,4.06,4.0,1.07,10.0,2.46,7.32,Moderately maintainable
160,2.24,1.53,2.76,1.0,1.27,2.24,5.5,3.05,6.9,Moderately maintainable
161,1.59,1.38,2.17,1.9,1.66,1.44,10.0,3.29,6.62,Moderately maintainable
162,2.02,2.07,1.98,1.0,1.46,2.02,10.0,3.76,6.63,Moderately maintainable
163,1.29,4.0,2.37,3.7,2.4,1.29,10.0,3.71,6.57,Moderately maintainable
164,1.55,1.2,1.0,5.7,2.29,2.1,5.5,4.66,7.87,Highly maintainable
165,1.51,2.71,4.13,5.44,1.74,1.51,10.0,3.77,6.31,Moderately maintainable
166,1.18,3.4,1.2,2.71,1.05,1.37,5.5,2.38,8.27,Highly maintainable
167,4.8,2.44,1.0,1.0,1.27,4.8,5.5,4.66,7.65,Highly maintainable
168,1.51,1.43,1.39,3.39,1.47,1.59,10.0,3.59,7.31,Moderately maintainable
169,1.07,1.0,1.0,4.67,2.5,1.07,5.5,1.54,8.76,Highly maintainable
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
170,1.29,1.0,1.0,1.0,1.27,1.29,5.5,2.2,7.97,Highly maintainable
171,2.17,2.12,1.0,1.0,1.19,2.17,5.5,1.95,8.5,Highly maintainable
172,1.51,4.0,2.76,1.0,1.27,1.51,10.0,2.69,6.71,Moderately maintainable
173,1.73,1.0,1.0,1.0,1.33,1.73,5.5,2.11,8.2,Highly maintainable
174,1.12,1.38,1.2,1.61,1.31,1.59,10.0,2.33,8.16,Highly maintainable
175,1.44,1.0,2.17,1.0,1.32,1.44,10.0,1.85,7.4,Moderately maintainable
176,1.22,3.0,1.0,1.0,1.27,1.22,5.5,1.3,8.77,Highly maintainable
177,1.88,1.75,1.0,1.0,1.27,1.88,5.5,2.03,8.33,Highly maintainable
178,1.8,2.64,1.39,6.73,1.37,1.07,5.5,4.19,6.73,Moderately maintainable
179,1.15,1.0,1.0,3.29,1.34,1.15,5.5,1.38,8.98,Highly maintainable
18,1.8,4.82,1.0,1.0,1.43,1.8,5.5,2.76,7.86,Highly maintainable
180,1.73,3.4,1.78,2.5,1.16,1.73,5.5,2.52,7.77,Highly maintainable
181,1.18,1.18,1.0,1.59,1.39,2.24,5.5,4.46,7.98,Highly maintainable
182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
183,2.17,2.5,1.2,1.61,1.27,2.17,5.5,2.15,8.33,Highly maintainable
184,1.37,4.0,1.0,1.0,1.27,1.37,5.5,1.52,8.61,Highly maintainable
185,1.29,3.25,2.76,1.69,2.33,1.29,10.0,2.54,6.75,Moderately maintainable
186,1.15,2.5,1.59,2.26,1.61,1.15,10.0,1.69,7.95,Highly maintainable
187,1.95,3.08,3.54,1.0,1.42,1.95,10.0,4.97,5.68,Moderately maintainable
188,1.15,2.5,1.78,1.0,1.61,1.15,10.0,1.78,7.51,Highly maintainable
189,1.88,2.25,2.57,2.4,1.43,1.8,10.0,3.58,6.65,Moderately maintainable
19,1.22,4.0,1.59,5.89,2.32,1.22,10.0,2.1,7.92,Highly maintainable
190,1.8,1.55,2.17,1.52,1.32,1.8,10.0,3.31,6.81,Moderately maintainable
191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
192,2.17,1.0,1.2,1.67,1.38,1.0,5.5,3.57,6.34,Moderately maintainable
193,2.32,1.83,1.98,1.78,1.3,2.32,10.0,3.34,7.1,Moderately maintainable
194,1.29,2.5,1.39,1.0,1.44,1.29,10.0,1.89,7.73,Highly maintainable
195,1.44,2.0,1.98,1.33,1.57,1.37,10.0,2.38,7.12,Moderately maintainable
196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
197,1.55,1.8,1.2,1.0,1.45,2.1,10.0,3.76,7.39,Moderately maintainable
198,1.11,4.0,1.39,1.0,1.55,1.22,10.0,1.69,7.96,Highly maintainable
199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
2,1.22,1.0,1.2,1.0,1.41,1.15,10.0,1.32,8.25,Highly maintainable
20,2.98,1.0,1.0,1.0,1.57,2.98,5.5,5.47,7.06,Moderately maintainable
200,1.37,2.2,1.0,1.0,1.27,1.37,5.5,1.61,8.5,Highly maintainable
201,1.4,3.18,2.76,3.19,1.66,1.8,10.0,4.55,6.58,Moderately maintainable
202,1.07,4.0,2.37,5.31,5.64,1.07,10.0,2.46,7.03,Moderately maintainable
203,1.95,1.0,1.0,5.41,1.94,1.0,5.5,3.84,6.81,Moderately maintainable
204,1.22,1.0,1.0,1.0,1.27,1.22,5.5,1.28,8.75,Highly maintainable
205,1.51,2.29,1.2,1.0,1.37,1.51,10.0,1.76,8.07,Highly maintainable
206,1.07,10.0,1.0,1.0,2.09,1.07,5.5,1.38,8.55,Highly maintainable
207,1.07,4.0,1.0,1.0,1.27,1.07,5.5,1.71,8.29,Highly maintainable
208,2.02,1.86,1.2,3.62,1.14,2.02,10.0,1.86,8.6,Highly maintainable
209,1.15,1.0,1.2,3.89,1.61,1.15,5.5,1.47,8.73,Highly maintainable
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
210,2.02,2.29,1.59,4.42,1.41,2.02,10.0,4.26,7.13,Moderately maintainable
211,1.07,7.0,1.2,6.24,1.27,1.07,5.5,1.17,9.31,Highly maintainable
212,2.02,2.29,1.0,1.29,1.27,2.02,5.5,2.31,8.28,Highly maintainable
